Customer Number,Customer Name,Street Address,Address (Line 2),Address (Line 3),City/County,Post Code,Country,Phone Number,Fax Number
C-CON2,ConvaTec Dominican Republic Inc,Carretera Sanchez Km. 18.5,Parqoe Ind,Haina,San Cristobal,,Dominican Repub,001809 289 2222,
C-COR1,Corina Raluca Arsene,19 Fiddlewood Road,,,"Norwich, Suffolk",NR6 6DW,United Kingdom,,
C-DEL1,Delta T Devices Ltd,130 Low Road,Burwell,,Cambridge,CB25 0EJ,United Kingdom,01638 745050,
C-DEN1,Dentognostics GmbH,Oben der Mühle 39,,,Solingen,D-42699,Germany,0049 212 645 74790,0049 212 645 747910
C-DER1,Dermal Diagnostics Ltd,Advanced Technology Innovation Centre,University Science & Enterprice Park,5 Oakwood Drive,"Loughborough, Leicestershire",LE11 3AQ,United Kingdom,01509 222912,
C-DIA1,Diagnostics for the Real World (Europe) Limited,"Suite 1, 11, 12","Science Village, Little Chesterford",Chesterford Research Park,"Little Chesterford, Essex",CB10 1XL,United Kingdom,01223 588094,
C-DIA2,Diagnostics for the Real World Ltd (USA),845 Embedded Way,Suite 150,,San Jose,CA 95138,United States,001 408 773 1511,
C-ECT1,Ecto Pacific Pty Ltd,PO Box 142,Warners Bay,,Cardiff,NSW 2285,Australia,,
C-ECT2,Ectovise,Guildford Road Trading Estate,,,"Farnham, Surrey",GU9 9PZ,United Kingdom,,
C-ELE1,Electrospinning Company,The Electrospinning Company Ltd,"Unit 5, Zephyr Building","Eighth Street, Harwell Campus,","Didcot, OXF",OX11 0RL,United Kingdom,01235 754920,
C-ENG2,Engineering 2K Spa,Strada 1 Palazzo E1,,,Assago (Milano),20057,Italy,+39340 3255338,
C-ENM1,EnMovi Ltd,13 Queen's Road,,,Aberdeen,AB15 4YL,United Kingdom,,
C-ESS1,Essentra Components Ltd,Langford Locks,Kidlington,,Oxford,OX5 1HX,United Kingdom,01865 841100,
C-FII1,Fiinka Limited,71-75 Shelton Street,,,London,WC2H 9JQ,United Kingdom,,
C-FLE1,Flextronics Design S.r.l,"Via Ernesto Breda, 176",,,Milano,20126,Italy,,
C-GAL1,Galvani Bioelectronics Ltd,980 Great West Road,Brentford,,Middlesex,TW8 9GS,United Kingdom,08456071604,
C-GEM1,GemaTech LLC,42 Volgogradsky Prospekt,6 Floor,Room 8.1-23H,Moscow,109316,Russian Federat,,
C-GLO1,Global Healthcare Technology,,,,,,,,
C-GTE1,G.TEC Medical Engineering GmbH,Sierningstrasse 14,,,4521 Schiedlberg,,Austria,,
C-IDC1,Industrial Design Consultancy Ltd,The Portland Business Centre,Manor House Lane,Datchet,Berkshire,SL3 9EG,United Kingdom,01753 549224,
C-IDE1,Ideal Medical International Ltd,Unit B Blenheim House,Longmead Industrial Estate,,"Epsom, Surrey",KT19 9AP,United Kingdom,02087737844,02086190250
C-ILI1,iLine Microsystems S.L,iLine Microsystems S.L.,"Paseo Mikeletegi, 69",Donostia - San Sebastian,Gipuzkoa,20009,Spain,+34 943005651,+34 943 008 737
C-INS1,Inside Biometrics International Limited,Dingwall Business Centre,Strathpeffer Road,,Dingwall,IV15 9QF,United Kingdom,01349 204002,
C-INV1,InverMed Teoranta,Salerno Business Pk,Aille,,"Inverin, GAL",H91 XHE3,Ireland,00353 91593814,
C-IST1,IST Scientific LLP,Guildford Road Trading Estate,,,"Farnham, SRY",GU9 9PZ,United Kingdom,01252 741955,
C-IST2,IST Scientific LLP Inter Company Chgs,Guildford Road Trading Estate,,,"Farnham, Surrey",GU9 9PZ,United Kingdom,,
C-JAD1,Jade-Euro-Med Ltd,Unit 14,Oldchurch Road Industrial Estate,East Hanningfield,"Chelmsford, ESS",CM3 8AB,United Kingdom,01245 400413,
C-JIT1,J.I.T Industrial Products Ltd,16 Melford Road,Righead Industrial Estate,,"Bellshill, LAK",ML4 3LR,United Kingdom,01698748290,
C-JOH1,Johnson Matthey Fuel Cells UK Ltd,Lydiard Fields,Great Western Way,,Swindon,SN5 8AT,United Kingdom,01793 755600,
C-JOR1,Jorgen Kruuse A/S,Havretoften 4,,,Langeskov,DK 5550,Denmark,0045 72 14 15 11,
C-KEM1,Kemtron Gaskets and Seals Limited,3 South Cork Industrial Estate,Vicars Road,,"Togher, COR",,Ireland,00 353 21 496 5006,
C-LEI1,Leigh House Solutions Ltd,Leigh House,Main Road,,"Rookley, IOW",PO38 3NL,United Kingdom,0800 652 2190,
C-LIN1,Links Medical Products,9249 Research Drive,,,"Irvine, CA",CA 92618,United States,0049 888 425 1149,
C-MAN1,Mann McGowan Fabrications Ltd,4 Brook Trading Estate,Deadbrook Lane,,Aldershot,GU12 4XB,United Kingdom,01252 333601,
C-MAN3,Manuka Health New Zealand Limited,66 Weona Court,Te Awamutu,,,3800,New Zealand,006 499413912,
C-MAN4,ManuKare Limited,3 Mount Taylor Drive,RD5,,Fielding,4775,New Zealand,+64212753401,
C-MAT1,Matoke Holdings,,,,,,,,
C-MED1,Medtrade Products Ltd,Electra House,Crewe Business Park,,"Crewe, CHS",CW1 6GL,United Kingdom,01270 500019,
C-MED2,Medical Device Creations Ltd,123a Allerton Road,Mossley Hill,,LIVERPOOL,L18 2DD,United Kingdom,0151 733 1900,
C-MED3,Medilogic,109 Muniburg Road,Boolaroo,,New South Wales,2285,Australia,0061 1300 111 250,
C-MED4,Medherant,,,,,,,,
C-MEN1,Menopoised,35 Robertson Road,,,"Brighton, East Sussex",BN15NJ,United Kingdom,07800636259,
C-MET1,Metset,Fatih Mah. Çamlik Cad no 54,35414 Sarniç Gaziemir,,,35410,Turkey,0090 232 431 16 77,
C-MET2,Med-S2T,13 Haruv st,Bney dror,,,4581500,Israel,00972544802134,
C-NEM1,Nemaura Pharma Ltd,Advanced Technology Innovation Centre,Loughborough University Science and Enterprise Park,5 Oakwood Drive,Leicestershire,LE11 3QF,United Kingdom,01509 222910,
C-NOV1,Novo Klinik-Service GmbH,Technologiepark West,Haus 15,Zum Fresener Feld 1,Bergheim,D50127,Germany,0049 2271 99404 510,
C-NUL1,Nuline Medical,Doonview Terrace,,,"Patna, Ayrshire",KA6 7JW,United Kingdom,+44 (0) 1292 433 888,
C-OME,Omega Diagnostics Ltd,Omega House,Hillfoots Business Village,Alva,Alva,FK12 5DQ,United Kingdom,01259 763030,
C-OPE1,OpenWater,Unit D,Ote Hall Farm Business Centre,Janes Lane,"Nr. Burgess Hill, West Sussex",RH15 0SR,United Kingdom,0044(0)7704 426371,
C-OPT1,Optimal Industrial Automation,8 Goodrich Close,Westerleigh Business Park,Yate,Bristol,BS37 5YT,United Kingdom,01454 333222,01454 322240
C-OST1,Ostoform Limited,"Block A, 2nd Floor",Marlinstown Business Estate,Co. Westmeath,"Mullingar, Co Westmeath",N91 RW96,Ireland,+353857255325,
C-PAD1,PADS4LADS,2 Quater House,Juniper Drive,,London,SW18 1GX,United Kingdom,,
C-PAR3,Paragon Health Limited,90A Tartnakilly Road,,,Limavady,BT49 9NA,Ireland,,
C-PAU1,Paul Hartmann AG,Paul-Hartmann-Str. 12,,,89522 Heidenheim,,Germany,0049 7321 36 1721,
C-PEL1,Pelican,,,,,,,,
C-PER2,Performance Adhesives Ltd,Performance Adhesives Ltd,3 The Forum,Icknield Way,Tring,HP23 4JY,United Kingdom,01442 899960,
C-PHA1,Pharmacy Sales Caribbean,4 Friendship Terr,Lodge Hill,,St Michael,,Barbados,246 417 0771,
C-PK21,PK21.5,Mas des Luriers,Route de Sainte Hippolyte,,Sainte Laurent de la Salanque,66250,France,+33 671622541,
C-PLA1,Planet Innovation Products Pty Ltd,436 Elgar Road,Box Hill,,Victoria,3128,Australia,+61399457510,
C-PRI1,Principelle,Principelle BV warehouse,Industrieweg 13A,5145 PD Waalwijk,,,Netherlands,0031 6676 733 77,
C-PRO2,Pronat Industries Ltd.,18 TZAVEI HANACHAL ST.,EMEK HEFER INDUSTRIAL ESTATE,,,3877701,Israel,972-4-628 6888,
C-RAL1,Raleigh Adhesive Coatings,Unit 1C,Raleigh Hall Industrial Estate,,"Eccleshall, STS",ST21 6JL,United Kingdom,01785 850357,
C-RAM1,Ramot Bio-medical Eng.LTD.,52 Hashlosha St Maas,,,Maas,4992500,Israel,972-505 272155,
C-ROC1,Rocket Medical PLC,Imperial Way,,,"Watford, HRT",WD24 4XX,United Kingdom,01923 651400,
C-SAL1,Salts Healthcare Ltd,Richard Street,,Aston,Birmingham,B7 4AA,United Kingdom,01213332000,
C-SAN1,San Melix,,,,,,,,
C-SAS1,Sash Medical Ltd,Woodhouse,Woodside Road,,"Hockley, ESS",SS5 4RU,United Kingdom,01702 206502,
C-SER1,SERTUS Limited,Europa House,Alfold Road,,"Cranleigh, Surrey",GU6 8NQ,United Kingdom,01483 542166,
C-SMI1,Smith & Nephew Medical (Suzhou) Ltd,Advanced Wound Management Division,200 Middle Suhong Road,Suzhou Industrial Park,"Comprehensive Free Zone, Jiangsu, SUZ",215021,China,0086 512 6733 3141,
C-SMI2,Smith & Nephew Medical Limited,PO Box 81,101 Hessle Road,,HULL,HU3 2BN,United Kingdom,01482 673248,
C-SMI3,Smiths Medical International Ltd,"1500, Eureka Park",Lower Pemberton,,"Ashford, KEN",TN25 4BF,United Kingdom,01706 233838,
C-SSA1,S.Sackers (Claydon) Ltd,Railway Sidings,Gipping Road,Gt. Blakeham,"Ipswich, Suffolk",IP6 0JB,United Kingdom,01473 830373,
C-STO1,Stockfilms,PO Box 11,,,"Barnet, HRT",EN5 4DE,United Kingdom,020 8441 0449,
C-TAP1,Tape Specialities Ltd,3 The Forum,Icknield Way Industrial Estate,,Tring,HP23 4JY,United Kingdom,01442 899950,
C-TEC2,TE Connectivitiy Trutnov s.r.o.,Trutnov S.R.O.,Komenskeho 821,Vendor No.150756,Trutnov,541 83,Czech Republic,00 420 499 909556,
C-TER1,Tercel Medical Group,Gallwey Road,,,"Aldershot, Hampshire",GU11 2DD,United Kingdom,01252 510 777,
C-THE1,Thermogroup Ltd,Bridge House,Pattenden Lane,,"Marden, Kent",TN12 9QJ,United Kingdom,0800 0195899,
C-THE2,Theranova Protezare SRL,Str. Eroul Necunoscut nr. 2,,,Oradea,410175,Romania,+40 744 614 384,
C-THI1,THI Total Healthcare Innovation GmbH,Gewerbestraβe 4,Feistritz im Rosental,,,9181,Austria,0043422830100,
C-TIS1,TISICS,22 Invincible Road,,Vendor No.150756,"Farnborough, HAM",GU14 7QU,United Kingdom,01252 516678,
C-TRI1,Trio Healthcare Ltd,"Unit 2A-2B, Sandylands Business Centre",Carleton New Road,,"Skipton, North Yorkshire",BD23 2AA,United Kingdom,07714 383 759,
C-TYC2,Tyco Electronics UK Ltd,Faraday Road,Dorcan,,"Swindon, Wiltshire",SN3 5HH,United Kingdom,01793 572028,01793 572064
C-ULT1,Ultra Electronics Command & Sonar Systems,420 Bridport Road,Greenford,,Middlesex,UB6 8UA,United Kingdom,01628530000,
C-UNI3,University of Surrey,University of Surrey,Senate House,Stag Hill,"Guildford, Surrey",GU2 7XH,United Kingdom,01483683244,
C-UNO2,Unomedical s.r.o,Priemyselny park 3,07 101 Michalovce,,,,Slovakia,00375 17210 0940,
C-UNO3,Unomedical,FE Unomedical Ltd.,Zavodskaya street 50,Fanipol,Minsk District,222750,Belarus,00375 (17) 555-32-36,00375 (17) 555-32-59
C-VID1,Vidya Health,Floor 5,86 Hatton Garden,,London,EC1N 8QQ,United Kingdom,02079987612,
C-VIV1,Vivus Innovations Ltd,100 High Street,Bletchingley,,Surrey,RH1 4PA,United Kingdom,01883 740224,
C-WAV1,Waverley Contracts,Guildford Road Trading Estate,,,"Farnham, SRY",GU9 9PZ,United Kingdom,01252 737973,
C-WEL1,Welland Medical Ltd,Hydehurst Lane,,,"Crawley, SXW",RH10 9AS,United Kingdom,01293 615455,
C-WEL2,Weldan 2002 ApS,Granlyet 8,,,Lynge,3540,Denmark,,
C-WIL1,Willow Design,27 Aldringham Park,Leiston,,Suffolk,IP16 4QZ,United Kingdom,01728832490,
C-ZHE1,"Zhende Medical Co., Ltd",Gaobu Town,Shaoxing,,Zhejiang,31200,China,0086 575 8808 1991,
